START TIME,DIRECTION,DURATION
1552854816973,Rest,5
1552854822978,Left,5
1552854827983,Right,5
1552854832988,Rest,5
1552854837992,Left,5
1552854842996,Right,5
1552854847998,Rest,5
1552854853001,Left,5
1552854858003,Right,5
1552854863007,Rest,5
1552854868010,Left,5
1552854873013,Right,5
1552854878018,Rest,5
1552854883021,Left,5
1552854888024,Right,5
1552854893030,Rest,5
1552854898030,Left,5
1552854903035,Right,5
1552854908038,Rest,5
1552854913040,Left,5
1552854918044,Right,5
1552854923048,Rest,5
1552854928052,Left,5
1552854933056,Right,5
