8.883745133175182662e-01,1.251602901759127917e+00,1.587627266240894341e+00,3.301752987744700496e-01,1.333200319430275060e+00,9.170844333622550637e-02,2.328505767508142754e-01,2.942292716179959466e-01,4.670263783017439274e-02,5.417337597449899400e-01
4.637196011168754906e-01,2.151619917216018307e-01,1.667695725239901616e+00,1.557003420974633068e-01,7.010251477812586840e-01,1.139222282994593535e-02,1.486821603517060886e-01,6.473217918746010380e-02,1.619693825086622740e-01,1.305415930649419520e-01
7.348392589782601902e-01,3.352789929157794224e-02,1.133531031684218870e+00,5.870172287039016057e-01,3.857871330469839211e-01,4.181837442710006209e-02,1.628599378437433909e-01,2.882695576736676174e-02,2.750715129679375259e-01,8.408765717830481157e-02
1.284186961193481691e-01,3.158394978682262932e-01,8.608738646739158007e-01,7.739889304070822762e-01,2.510944952441259703e-01,9.289630526435323221e-02,2.055462364686491683e-01,1.106838112755795384e-01,3.787954768126952643e-01,1.323125145449785545e-01
8.475669874875588206e-02,4.630894286702311735e-01,9.989280451245740045e-01,6.663627078450452546e-01,1.940624785423133991e-01,1.500064735877802147e-01,2.514656044137291713e-01,2.600953488600625252e-01,5.067508800794896517e-01,3.057070247594265155e-01
8.432271017888301468e-02,4.511843481648330489e-01,1.238831787396442285e+00,4.782089902159094574e-01,1.497847569095619447e-01,2.119837351933352709e-01,2.981164745656486037e-01,4.056266373319705743e-01,6.770068950317233991e-01,7.161187464333067521e-01
5.650797353356332153e-02,4.535545553201123514e-01,1.392633802037133384e+00,3.141676547610200987e-01,1.065093516281648972e-01,2.601389922989508219e-01,3.533788031115136508e-01,4.780360565315324717e-01,8.845536463176603137e-01,1.396567141303244552e+00
9.948770595685903217e-02,5.018588224158809785e-01,1.454555954587096966e+00,2.051994287702628428e-01,7.034589556351798778e-02,2.738113503057373888e-01,4.207094259168868700e-01,4.478228901178938348e-01,1.105344074970375789e+00,2.284371284135720437e+00
1.278121378425669252e-01,5.648845696955362428e-01,1.472252751775036783e+00,1.571107940057960006e-01,4.385118989983315119e-02,2.548745799778817656e-01,4.915492358246119076e-01,3.353981710762622970e-01,1.303381761961835306e+00,3.252685138944589216e+00
1.398913403120726207e-01,5.937695253572247145e-01,1.509583105962053029e+00,1.618529580908947274e-01,2.195508335141579948e-02,2.330721567805737748e-01,5.302181964698339245e-01,2.002129255989229806e-01,1.427943346551724169e+00,4.196232104100723781e+00
1.405539051682035412e-01,5.988355948567052334e-01,1.537081661958268342e+00,2.326971726479898639e-01,1.155256584079858428e-02,2.255893419274330736e-01,5.158909065243381109e-01,8.845858884281075640e-02,1.471551214531660046e+00,4.984492757697643661e+00
1.272295365387172417e-01,5.618720770832724698e-01,1.569280631883094523e+00,3.468724605196217836e-01,1.594572465527198737e-02,2.328844692912377667e-01,4.560232030735050790e-01,2.531770760715266674e-02,1.450776058674527302e+00,5.500275691065137806e+00
1.087566446781805529e-01,5.129540530708850410e-01,1.583697759958425211e+00,4.640450559524000318e-01,3.549967578159390902e-02,2.599572932288325422e-01,3.631104234273337950e-01,1.205131537787101394e-02,1.405676106314010188e+00,5.658180929731011055e+00
9.591837770994812717e-02,4.901869717024786022e-01,1.550985475928977397e+00,5.517719722767173707e-01,7.172692596951543709e-02,2.869247515721302655e-01,2.684357896332136839e-01,3.307973094046769841e-02,1.342796185778453166e+00,5.475265583577657580e+00
1.006694948571811576e-01,5.015020152399121134e-01,1.491420674970353577e+00,5.585690909632147205e-01,1.375091506771260463e-01,2.896089149725712963e-01,1.913222187226360227e-01,6.751949911543693450e-02,1.254428021251516867e+00,5.035471982256249035e+00
